Copies	kmer_multiplicity	Count	Assembly	ordering
1	read-only	20	4929927	HiC hap1	NA
2	read-only	21	5330840	HiC hap1	NA
3	read-only	22	5753258	HiC hap1	NA
4	read-only	23	6179953	HiC hap1	NA
5	read-only	24	6603988	HiC hap1	NA
6	read-only	25	7006054	HiC hap1	NA
7	read-only	26	7371369	HiC hap1	NA
8	read-only	27	7693023	HiC hap1	NA
9	read-only	28	7956409	HiC hap1	NA
10	read-only	29	8146901	HiC hap1	NA
11	read-only	30	8263226	HiC hap1	NA
12	read-only	31	8313180	HiC hap1	NA
13	read-only	32	8275378	HiC hap1	NA
14	read-only	33	8155381	HiC hap1	NA
15	read-only	34	7973329	HiC hap1	NA
16	read-only	35	7724670	HiC hap1	NA
17	read-only	36	7410000	HiC hap1	NA
18	read-only	37	7057939	HiC hap1	NA
19	read-only	38	6667037	HiC hap1	NA
20	read-only	39	6245630	HiC hap1	NA
21	read-only	40	5793739	HiC hap1	NA
22	read-only	41	5354236	HiC hap1	NA
23	read-only	42	4891926	HiC hap1	NA
24	read-only	43	4449397	HiC hap1	NA
25	read-only	44	4015915	HiC hap1	NA
26	read-only	45	3604182	HiC hap1	NA
27	read-only	46	3219088	HiC hap1	NA
28	read-only	47	2855297	HiC hap1	NA
29	read-only	48	2523591	HiC hap1	NA
30	read-only	49	2214609	HiC hap1	NA
31	read-only	50	1938449	HiC hap1	NA
32	read-only	51	1687402	HiC hap1	NA
33	read-only	52	1466458	HiC hap1	NA
34	read-only	53	1269203	HiC hap1	NA
35	read-only	54	1099123	HiC hap1	NA
36	read-only	55	950877	HiC hap1	NA
37	read-only	56	822692	HiC hap1	NA
38	read-only	57	707223	HiC hap1	NA
39	read-only	58	610975	HiC hap1	NA
40	read-only	59	528179	HiC hap1	NA
41	read-only	60	454535	HiC hap1	NA
42	read-only	61	395760	HiC hap1	NA
43	read-only	62	343680	HiC hap1	NA
44	read-only	63	300823	HiC hap1	NA
45	read-only	64	262819	HiC hap1	NA
46	read-only	65	230977	HiC hap1	NA
47	read-only	66	203853	HiC hap1	NA
48	read-only	67	182446	HiC hap1	NA
49	read-only	68	162836	HiC hap1	NA
50	read-only	69	147810	HiC hap1	NA
51	read-only	70	133706	HiC hap1	NA
52	read-only	71	121136	HiC hap1	NA
53	read-only	72	111314	HiC hap1	NA
54	read-only	73	102195	HiC hap1	NA
55	read-only	74	94133	HiC hap1	NA
56	read-only	75	87605	HiC hap1	NA
57	read-only	76	82033	HiC hap1	NA
58	read-only	77	76781	HiC hap1	NA
59	read-only	78	71322	HiC hap1	NA
60	read-only	79	67431	HiC hap1	NA
61	read-only	80	63720	HiC hap1	NA
62	read-only	81	60759	HiC hap1	NA
63	read-only	82	58066	HiC hap1	NA
64	read-only	83	55152	HiC hap1	NA
65	read-only	84	52486	HiC hap1	NA
66	read-only	85	50252	HiC hap1	NA
67	read-only	86	48044	HiC hap1	NA
68	read-only	87	46211	HiC hap1	NA
69	read-only	88	44673	HiC hap1	NA
70	read-only	89	42828	HiC hap1	NA
71	read-only	90	40878	HiC hap1	NA
72	read-only	91	39793	HiC hap1	NA
73	read-only	92	38577	HiC hap1	NA
74	read-only	93	36950	HiC hap1	NA
75	read-only	94	35462	HiC hap1	NA
76	read-only	95	34354	HiC hap1	NA
77	read-only	96	33103	HiC hap1	NA
78	read-only	97	32128	HiC hap1	NA
79	read-only	98	30931	HiC hap1	NA
80	read-only	99	30367	HiC hap1	NA
81	read-only	100	28986	HiC hap1	NA
82	read-only	101	28254	HiC hap1	NA
83	read-only	102	27529	HiC hap1	NA
84	read-only	103	26781	HiC hap1	NA
85	read-only	104	26103	HiC hap1	NA
86	read-only	105	25200	HiC hap1	NA
87	read-only	106	24742	HiC hap1	NA
88	read-only	107	24093	HiC hap1	NA
89	read-only	108	23434	HiC hap1	NA
90	read-only	109	22884	HiC hap1	NA
91	read-only	110	22475	HiC hap1	NA
92	read-only	111	21915	HiC hap1	NA
93	read-only	112	21480	HiC hap1	NA
94	read-only	113	21017	HiC hap1	NA
95	read-only	114	20667	HiC hap1	NA
96	read-only	115	20007	HiC hap1	NA
97	read-only	116	19584	HiC hap1	NA
98	read-only	117	19231	HiC hap1	NA
99	read-only	118	19057	HiC hap1	NA
100	read-only	119	18547	HiC hap1	NA
101	read-only	120	17839	HiC hap1	NA
102	read-only	121	17522	HiC hap1	NA
103	read-only	122	17323	HiC hap1	NA
104	read-only	123	16869	HiC hap1	NA
105	read-only	124	16640	HiC hap1	NA
106	read-only	125	16102	HiC hap1	NA
107	read-only	126	15862	HiC hap1	NA
108	read-only	127	15715	HiC hap1	NA
109	read-only	128	15277	HiC hap1	NA
110	read-only	129	15099	HiC hap1	NA
111	read-only	130	14630	HiC hap1	NA
112	read-only	131	14420	HiC hap1	NA
113	read-only	132	14054	HiC hap1	NA
114	read-only	133	13948	HiC hap1	NA
115	read-only	134	13615	HiC hap1	NA
116	read-only	135	13474	HiC hap1	NA
117	read-only	136	13353	HiC hap1	NA
118	read-only	137	12779	HiC hap1	NA
119	read-only	138	12688	HiC hap1	NA
120	read-only	139	12451	HiC hap1	NA
121	read-only	140	12506	HiC hap1	NA
122	read-only	141	12201	HiC hap1	NA
123	read-only	142	11732	HiC hap1	NA
124	read-only	143	11850	HiC hap1	NA
125	read-only	144	11462	HiC hap1	NA
126	read-only	145	11361	HiC hap1	NA
127	read-only	146	11147	HiC hap1	NA
128	read-only	147	10763	HiC hap1	NA
129	read-only	148	10956	HiC hap1	NA
130	read-only	149	10658	HiC hap1	NA
131	read-only	150	10576	HiC hap1	NA
132	read-only	20	6112647	HiC hap2	NA
133	read-only	21	6665431	HiC hap2	NA
134	read-only	22	7239765	HiC hap2	NA
135	read-only	23	7820220	HiC hap2	NA
136	read-only	24	8389695	HiC hap2	NA
137	read-only	25	8932833	HiC hap2	NA
138	read-only	26	9428063	HiC hap2	NA
139	read-only	27	9869913	HiC hap2	NA
140	read-only	28	10246495	HiC hap2	NA
141	read-only	29	10544881	HiC hap2	NA
142	read-only	30	10735794	HiC hap2	NA
143	read-only	31	10827622	HiC hap2	NA
144	read-only	32	10828251	HiC hap2	NA
145	read-only	33	10715728	HiC hap2	NA
146	read-only	34	10513193	HiC hap2	NA
147	read-only	35	10210849	HiC hap2	NA
148	read-only	36	9827799	HiC hap2	NA
149	read-only	37	9375314	HiC hap2	NA
150	read-only	38	8874986	HiC hap2	NA
151	read-only	39	8327298	HiC hap2	NA
152	read-only	40	7750402	HiC hap2	NA
153	read-only	41	7155054	HiC hap2	NA
154	read-only	42	6559269	HiC hap2	NA
155	read-only	43	5973412	HiC hap2	NA
156	read-only	44	5403770	HiC hap2	NA
157	read-only	45	4865579	HiC hap2	NA
158	read-only	46	4344553	HiC hap2	NA
159	read-only	47	3858286	HiC hap2	NA
160	read-only	48	3422163	HiC hap2	NA
161	read-only	49	3012457	HiC hap2	NA
162	read-only	50	2642914	HiC hap2	NA
163	read-only	51	2312949	HiC hap2	NA
164	read-only	52	2014100	HiC hap2	NA
165	read-only	53	1749254	HiC hap2	NA
166	read-only	54	1517642	HiC hap2	NA
167	read-only	55	1315435	HiC hap2	NA
168	read-only	56	1142327	HiC hap2	NA
169	read-only	57	989426	HiC hap2	NA
170	read-only	58	860099	HiC hap2	NA
171	read-only	59	745413	HiC hap2	NA
172	read-only	60	647570	HiC hap2	NA
173	read-only	61	564924	HiC hap2	NA
174	read-only	62	494780	HiC hap2	NA
175	read-only	63	435826	HiC hap2	NA
176	read-only	64	384757	HiC hap2	NA
177	read-only	65	342270	HiC hap2	NA
178	read-only	66	305834	HiC hap2	NA
179	read-only	67	275458	HiC hap2	NA
180	read-only	68	249086	HiC hap2	NA
181	read-only	69	225254	HiC hap2	NA
182	read-only	70	205995	HiC hap2	NA
183	read-only	71	189571	HiC hap2	NA
184	read-only	72	174942	HiC hap2	NA
185	read-only	73	161803	HiC hap2	NA
186	read-only	74	151566	HiC hap2	NA
187	read-only	75	140716	HiC hap2	NA
