Copies	kmer_multiplicity	Count	Assembly	ordering
188	read-only	76	131456	HiC hap2	NA
189	read-only	77	124221	HiC hap2	NA
190	read-only	78	116586	HiC hap2	NA
191	read-only	79	110909	HiC hap2	NA
192	read-only	80	104782	HiC hap2	NA
193	read-only	81	99772	HiC hap2	NA
194	read-only	82	95309	HiC hap2	NA
195	read-only	83	90467	HiC hap2	NA
196	read-only	84	85390	HiC hap2	NA
197	read-only	85	82960	HiC hap2	NA
198	read-only	86	78519	HiC hap2	NA
199	read-only	87	75618	HiC hap2	NA
200	read-only	88	73242	HiC hap2	NA
201	read-only	89	69998	HiC hap2	NA
202	read-only	90	67092	HiC hap2	NA
203	read-only	91	64854	HiC hap2	NA
204	read-only	92	62533	HiC hap2	NA
205	read-only	93	60556	HiC hap2	NA
206	read-only	94	58404	HiC hap2	NA
207	read-only	95	56574	HiC hap2	NA
208	read-only	96	54091	HiC hap2	NA
209	read-only	97	52363	HiC hap2	NA
210	read-only	98	50715	HiC hap2	NA
211	read-only	99	49428	HiC hap2	NA
212	read-only	100	47179	HiC hap2	NA
213	read-only	101	46236	HiC hap2	NA
214	read-only	102	45559	HiC hap2	NA
215	read-only	103	44131	HiC hap2	NA
216	read-only	104	42620	HiC hap2	NA
217	read-only	105	41513	HiC hap2	NA
218	read-only	106	40550	HiC hap2	NA
219	read-only	107	39373	HiC hap2	NA
220	read-only	108	38009	HiC hap2	NA
221	read-only	109	37325	HiC hap2	NA
222	read-only	110	36294	HiC hap2	NA
223	read-only	111	35243	HiC hap2	NA
224	read-only	112	34541	HiC hap2	NA
225	read-only	113	33654	HiC hap2	NA
226	read-only	114	32769	HiC hap2	NA
227	read-only	115	32031	HiC hap2	NA
228	read-only	116	31188	HiC hap2	NA
229	read-only	117	30840	HiC hap2	NA
230	read-only	118	30168	HiC hap2	NA
231	read-only	119	29478	HiC hap2	NA
232	read-only	120	28679	HiC hap2	NA
233	read-only	121	28157	HiC hap2	NA
234	read-only	122	27587	HiC hap2	NA
235	read-only	123	26645	HiC hap2	NA
236	read-only	124	26120	HiC hap2	NA
237	read-only	125	25688	HiC hap2	NA
238	read-only	126	25003	HiC hap2	NA
239	read-only	127	24759	HiC hap2	NA
240	read-only	128	23932	HiC hap2	NA
241	read-only	129	23809	HiC hap2	NA
242	read-only	130	23252	HiC hap2	NA
243	read-only	131	22755	HiC hap2	NA
244	read-only	132	22069	HiC hap2	NA
245	read-only	133	22000	HiC hap2	NA
246	read-only	134	21585	HiC hap2	NA
247	read-only	135	21348	HiC hap2	NA
248	read-only	136	20857	HiC hap2	NA
249	read-only	137	20117	HiC hap2	NA
250	read-only	138	20182	HiC hap2	NA
251	read-only	139	19483	HiC hap2	NA
252	read-only	140	19576	HiC hap2	NA
253	read-only	141	19073	HiC hap2	NA
254	read-only	142	18500	HiC hap2	NA
255	read-only	143	18514	HiC hap2	NA
256	read-only	144	17849	HiC hap2	NA
257	read-only	145	17775	HiC hap2	NA
258	read-only	146	17179	HiC hap2	NA
259	read-only	147	16818	HiC hap2	NA
260	read-only	148	16955	HiC hap2	NA
261	read-only	149	16360	HiC hap2	NA
262	read-only	150	16052	HiC hap2	NA
263	read-only	20	5355927	Trio hap1 (pat)	NA
264	read-only	21	5778544	Trio hap1 (pat)	NA
265	read-only	22	6207072	Trio hap1 (pat)	NA
266	read-only	23	6650220	Trio hap1 (pat)	NA
267	read-only	24	7068831	Trio hap1 (pat)	NA
268	read-only	25	7459148	Trio hap1 (pat)	NA
269	read-only	26	7802591	Trio hap1 (pat)	NA
270	read-only	27	8100117	Trio hap1 (pat)	NA
271	read-only	28	8336238	Trio hap1 (pat)	NA
272	read-only	29	8510975	Trio hap1 (pat)	NA
273	read-only	30	8603627	Trio hap1 (pat)	NA
274	read-only	31	8625974	Trio hap1 (pat)	NA
275	read-only	32	8570953	Trio hap1 (pat)	NA
276	read-only	33	8431992	Trio hap1 (pat)	NA
277	read-only	34	8225274	Trio hap1 (pat)	NA
278	read-only	35	7950823	Trio hap1 (pat)	NA
279	read-only	36	7626484	Trio hap1 (pat)	NA
280	read-only	37	7252908	Trio hap1 (pat)	NA
281	read-only	38	6852501	Trio hap1 (pat)	NA
282	read-only	39	6427098	Trio hap1 (pat)	NA
283	read-only	40	5965533	Trio hap1 (pat)	NA
284	read-only	41	5514309	Trio hap1 (pat)	NA
285	read-only	42	5053552	Trio hap1 (pat)	NA
286	read-only	43	4615765	Trio hap1 (pat)	NA
287	read-only	44	4193172	Trio hap1 (pat)	NA
288	read-only	45	3794284	Trio hap1 (pat)	NA
289	read-only	46	3416641	Trio hap1 (pat)	NA
290	read-only	47	3062104	Trio hap1 (pat)	NA
291	read-only	48	2753017	Trio hap1 (pat)	NA
292	read-only	49	2463671	Trio hap1 (pat)	NA
293	read-only	50	2205970	Trio hap1 (pat)	NA
294	read-only	51	1973663	Trio hap1 (pat)	NA
295	read-only	52	1775295	Trio hap1 (pat)	NA
296	read-only	53	1598204	Trio hap1 (pat)	NA
297	read-only	54	1447462	Trio hap1 (pat)	NA
298	read-only	55	1318244	Trio hap1 (pat)	NA
299	read-only	56	1211426	Trio hap1 (pat)	NA
300	read-only	57	1113670	Trio hap1 (pat)	NA
301	read-only	58	1036817	Trio hap1 (pat)	NA
302	read-only	59	972035	Trio hap1 (pat)	NA
303	read-only	60	915082	Trio hap1 (pat)	NA
304	read-only	61	873164	Trio hap1 (pat)	NA
305	read-only	62	835790	Trio hap1 (pat)	NA
306	read-only	63	805064	Trio hap1 (pat)	NA
307	read-only	64	775495	Trio hap1 (pat)	NA
308	read-only	65	752627	Trio hap1 (pat)	NA
309	read-only	66	735902	Trio hap1 (pat)	NA
310	read-only	67	716452	Trio hap1 (pat)	NA
311	read-only	68	699782	Trio hap1 (pat)	NA
312	read-only	69	683547	Trio hap1 (pat)	NA
313	read-only	70	666041	Trio hap1 (pat)	NA
314	read-only	71	650689	Trio hap1 (pat)	NA
315	read-only	72	633571	Trio hap1 (pat)	NA
316	read-only	73	612247	Trio hap1 (pat)	NA
317	read-only	74	594002	Trio hap1 (pat)	NA
318	read-only	75	577373	Trio hap1 (pat)	NA
319	read-only	76	556089	Trio hap1 (pat)	NA
320	read-only	77	537381	Trio hap1 (pat)	NA
321	read-only	78	516719	Trio hap1 (pat)	NA
322	read-only	79	495006	Trio hap1 (pat)	NA
323	read-only	80	472932	Trio hap1 (pat)	NA
324	read-only	81	452946	Trio hap1 (pat)	NA
325	read-only	82	432781	Trio hap1 (pat)	NA
326	read-only	83	410623	Trio hap1 (pat)	NA
327	read-only	84	388307	Trio hap1 (pat)	NA
328	read-only	85	368157	Trio hap1 (pat)	NA
329	read-only	86	347447	Trio hap1 (pat)	NA
330	read-only	87	327764	Trio hap1 (pat)	NA
331	read-only	88	307129	Trio hap1 (pat)	NA
332	read-only	89	287957	Trio hap1 (pat)	NA
333	read-only	90	270494	Trio hap1 (pat)	NA
334	read-only	91	253213	Trio hap1 (pat)	NA
335	read-only	92	236617	Trio hap1 (pat)	NA
336	read-only	93	220631	Trio hap1 (pat)	NA
337	read-only	94	206020	Trio hap1 (pat)	NA
338	read-only	95	191635	Trio hap1 (pat)	NA
339	read-only	96	176650	Trio hap1 (pat)	NA
340	read-only	97	164711	Trio hap1 (pat)	NA
341	read-only	98	152537	Trio hap1 (pat)	NA
342	read-only	99	141236	Trio hap1 (pat)	NA
343	read-only	100	130450	Trio hap1 (pat)	NA
344	read-only	101	120732	Trio hap1 (pat)	NA
345	read-only	102	112265	Trio hap1 (pat)	NA
346	read-only	103	104382	Trio hap1 (pat)	NA
347	read-only	104	96697	Trio hap1 (pat)	NA
348	read-only	105	89482	Trio hap1 (pat)	NA
349	read-only	106	83908	Trio hap1 (pat)	NA
350	read-only	107	77881	Trio hap1 (pat)	NA
351	read-only	108	72299	Trio hap1 (pat)	NA
352	read-only	109	67054	Trio hap1 (pat)	NA
353	read-only	110	62807	Trio hap1 (pat)	NA
354	read-only	111	58446	Trio hap1 (pat)	NA
355	read-only	112	54517	Trio hap1 (pat)	NA
356	read-only	113	51964	Trio hap1 (pat)	NA
357	read-only	114	48750	Trio hap1 (pat)	NA
358	read-only	115	45317	Trio hap1 (pat)	NA
359	read-only	116	42535	Trio hap1 (pat)	NA
360	read-only	117	40587	Trio hap1 (pat)	NA
361	read-only	118	38457	Trio hap1 (pat)	NA
362	read-only	119	35914	Trio hap1 (pat)	NA
363	read-only	120	33899	Trio hap1 (pat)	NA
364	read-only	121	32457	Trio hap1 (pat)	NA
365	read-only	122	31191	Trio hap1 (pat)	NA
366	read-only	123	29575	Trio hap1 (pat)	NA
367	read-only	124	28317	Trio hap1 (pat)	NA
368	read-only	125	26996	Trio hap1 (pat)	NA
369	read-only	126	25755	Trio hap1 (pat)	NA
370	read-only	127	25109	Trio hap1 (pat)	NA
371	read-only	128	24156	Trio hap1 (pat)	NA
372	read-only	129	23446	Trio hap1 (pat)	NA
373	read-only	130	22370	Trio hap1 (pat)	NA
374	read-only	131	21654	Trio hap1 (pat)	NA
375	read-only	132	20978	Trio hap1 (pat)	NA
376	read-only	133	20420	Trio hap1 (pat)	NA
377	read-only	134	19637	Trio hap1 (pat)	NA
378	read-only	135	19290	Trio hap1 (pat)	NA
379	read-only	136	18622	Trio hap1 (pat)	NA
380	read-only	137	17983	Trio hap1 (pat)	NA
381	read-only	138	17832	Trio hap1 (pat)	NA
382	read-only	139	17109	Trio hap1 (pat)	NA
383	read-only	140	17037	Trio hap1 (pat)	NA
384	read-only	141	16417	Trio hap1 (pat)	NA
385	read-only	142	15843	Trio hap1 (pat)	NA
386	read-only	143	15696	Trio hap1 (pat)	NA
387	read-only	144	15192	Trio hap1 (pat)	NA
388	read-only	145	14987	Trio hap1 (pat)	NA
389	read-only	146	14623	Trio hap1 (pat)	NA
390	read-only	147	14063	Trio hap1 (pat)	NA
391	read-only	148	14225	Trio hap1 (pat)	NA
392	read-only	149	13723	Trio hap1 (pat)	NA
393	read-only	150	13582	Trio hap1 (pat)	NA
394	read-only	20	5649799	Trio hap2 (mat)	NA
395	read-only	21	6174029	Trio hap2 (mat)	NA
396	read-only	22	6735854	Trio hap2 (mat)	NA
397	read-only	23	7294360	Trio hap2 (mat)	NA
398	read-only	24	7862262	Trio hap2 (mat)	NA
399	read-only	25	8410014	Trio hap2 (mat)	NA
400	read-only	26	8920663	Trio hap2 (mat)	NA
401	read-only	27	9381348	Trio hap2 (mat)	NA
402	read-only	28	9780664	Trio hap2 (mat)	NA
403	read-only	29	10089403	Trio hap2 (mat)	NA
404	read-only	30	10303010	Trio hap2 (mat)	NA
405	read-only	31	10423186	Trio hap2 (mat)	NA
406	read-only	32	10439337	Trio hap2 (mat)	NA
407	read-only	33	10348458	Trio hap2 (mat)	NA
408	read-only	34	10172386	Trio hap2 (mat)	NA
409	read-only	35	9899786	Trio hap2 (mat)	NA
410	read-only	36	9533618	Trio hap2 (mat)	NA
411	read-only	37	9114220	Trio hap2 (mat)	NA
412	read-only	38	8632488	Trio hap2 (mat)	NA
413	read-only	39	8103044	Trio hap2 (mat)	NA
414	read-only	40	7549427	Trio hap2 (mat)	NA
415	read-only	41	6980376	Trio hap2 (mat)	NA
416	read-only	42	6402321	Trio hap2 (mat)	NA
417	read-only	43	5828394	Trio hap2 (mat)	NA
418	read-only	44	5265769	Trio hap2 (mat)	NA
419	read-only	45	4734921	Trio hap2 (mat)	NA
420	read-only	46	4228900	Trio hap2 (mat)	NA
421	read-only	47	3755726	Trio hap2 (mat)	NA
422	read-only	48	3320156	Trio hap2 (mat)	NA
423	read-only	49	2913434	Trio hap2 (mat)	NA
424	read-only	50	2549979	Trio hap2 (mat)	NA
425	read-only	51	2224673	Trio hap2 (mat)	NA
426	read-only	52	1928283	Trio hap2 (mat)	NA
427	read-only	53	1670158	Trio hap2 (mat)	NA
428	read-only	54	1443400	Trio hap2 (mat)	NA
429	read-only	55	1246163	Trio hap2 (mat)	NA
430	read-only	56	1076798	Trio hap2 (mat)	NA
431	read-only	57	926179	Trio hap2 (mat)	NA
432	read-only	58	798837	Trio hap2 (mat)	NA
433	read-only	59	687290	Trio hap2 (mat)	NA
434	read-only	60	592163	Trio hap2 (mat)	NA
435	read-only	61	512136	Trio hap2 (mat)	NA
436	read-only	62	444197	Trio hap2 (mat)	NA
437	read-only	63	387045	Trio hap2 (mat)	NA
438	read-only	64	338341	Trio hap2 (mat)	NA
439	read-only	65	297129	Trio hap2 (mat)	NA
440	read-only	66	263179	Trio hap2 (mat)	NA
441	read-only	67	234158	Trio hap2 (mat)	NA
442	read-only	68	208848	Trio hap2 (mat)	NA
443	read-only	69	187357	Trio hap2 (mat)	NA
444	read-only	70	169949	Trio hap2 (mat)	NA
445	read-only	71	153497	Trio hap2 (mat)	NA
446	read-only	72	140956	Trio hap2 (mat)	NA
447	read-only	73	130530	Trio hap2 (mat)	NA
448	read-only	74	120351	Trio hap2 (mat)	NA
449	read-only	75	111020	Trio hap2 (mat)	NA
450	read-only	76	103931	Trio hap2 (mat)	NA
451	read-only	77	97282	Trio hap2 (mat)	NA
452	read-only	78	90874	Trio hap2 (mat)	NA
453	read-only	79	85382	Trio hap2 (mat)	NA
454	read-only	80	80358	Trio hap2 (mat)	NA
455	read-only	81	75970	Trio hap2 (mat)	NA
456	read-only	82	72471	Trio hap2 (mat)	NA
457	read-only	83	68899	Trio hap2 (mat)	NA
458	read-only	84	64702	Trio hap2 (mat)	NA
459	read-only	85	62190	Trio hap2 (mat)	NA
460	read-only	86	59357	Trio hap2 (mat)	NA
461	read-only	87	56612	Trio hap2 (mat)	NA
462	read-only	88	54901	Trio hap2 (mat)	NA
463	read-only	89	52468	Trio hap2 (mat)	NA
464	read-only	90	50108	Trio hap2 (mat)	NA
465	read-only	91	48847	Trio hap2 (mat)	NA
466	read-only	92	47050	Trio hap2 (mat)	NA
467	read-only	93	45190	Trio hap2 (mat)	NA
468	read-only	94	43475	Trio hap2 (mat)	NA
469	read-only	95	42052	Trio hap2 (mat)	NA
470	read-only	96	40210	Trio hap2 (mat)	NA
471	read-only	97	39084	Trio hap2 (mat)	NA
472	read-only	98	37805	Trio hap2 (mat)	NA
473	read-only	99	36919	Trio hap2 (mat)	NA
474	read-only	100	35109	Trio hap2 (mat)	NA
475	read-only	101	34258	Trio hap2 (mat)	NA
476	read-only	102	33463	Trio hap2 (mat)	NA
477	read-only	103	32569	Trio hap2 (mat)	NA
478	read-only	104	31390	Trio hap2 (mat)	NA
479	read-only	105	30559	Trio hap2 (mat)	NA
480	read-only	106	29895	Trio hap2 (mat)	NA
481	read-only	107	28947	Trio hap2 (mat)	NA
482	read-only	108	28227	Trio hap2 (mat)	NA
483	read-only	109	27580	Trio hap2 (mat)	NA
484	read-only	110	27133	Trio hap2 (mat)	NA
485	read-only	111	26361	Trio hap2 (mat)	NA
486	read-only	112	25687	Trio hap2 (mat)	NA
487	read-only	113	24963	Trio hap2 (mat)	NA
488	read-only	114	24587	Trio hap2 (mat)	NA
489	read-only	115	23980	Trio hap2 (mat)	NA
490	read-only	116	23458	Trio hap2 (mat)	NA
491	read-only	117	23252	Trio hap2 (mat)	NA
492	read-only	118	22717	Trio hap2 (mat)	NA
493	read-only	119	22139	Trio hap2 (mat)	NA
494	read-only	120	21438	Trio hap2 (mat)	NA
495	read-only	121	20992	Trio hap2 (mat)	NA
496	read-only	122	20640	Trio hap2 (mat)	NA
497	read-only	123	19947	Trio hap2 (mat)	NA
498	read-only	124	19627	Trio hap2 (mat)	NA
499	read-only	125	19124	Trio hap2 (mat)	NA
500	read-only	126	18776	Trio hap2 (mat)	NA
501	read-only	127	18419	Trio hap2 (mat)	NA
502	read-only	128	17979	Trio hap2 (mat)	NA
503	read-only	129	17654	Trio hap2 (mat)	NA
504	read-only	130	17390	Trio hap2 (mat)	NA
505	read-only	131	17053	Trio hap2 (mat)	NA
506	read-only	132	16566	Trio hap2 (mat)	NA
507	read-only	133	16540	Trio hap2 (mat)	NA
508	read-only	134	16165	Trio hap2 (mat)	NA
509	read-only	135	16022	Trio hap2 (mat)	NA
510	read-only	136	15799	Trio hap2 (mat)	NA
511	read-only	137	15190	Trio hap2 (mat)	NA
512	read-only	138	15106	Trio hap2 (mat)	NA
513	read-only	139	14625	Trio hap2 (mat)	NA
514	read-only	140	14819	Trio hap2 (mat)	NA
515	read-only	141	14381	Trio hap2 (mat)	NA
516	read-only	142	13919	Trio hap2 (mat)	NA
517	read-only	143	13943	Trio hap2 (mat)	NA
518	read-only	144	13540	Trio hap2 (mat)	NA
519	read-only	145	13385	Trio hap2 (mat)	NA
520	read-only	146	12936	Trio hap2 (mat)	NA
521	read-only	147	12577	Trio hap2 (mat)	NA
522	read-only	148	12768	Trio hap2 (mat)	NA
523	read-only	149	12493	Trio hap2 (mat)	NA
524	read-only	150	12340	Trio hap2 (mat)	NA
525	2	20	58730	HiFi-only (pri)	5
526	2	21	65424	HiFi-only (pri)	5
527	2	22	73322	HiFi-only (pri)	5
528	2	23	82396	HiFi-only (pri)	5
529	2	24	92084	HiFi-only (pri)	5
530	2	25	103380	HiFi-only (pri)	5
531	2	26	116352	HiFi-only (pri)	5
532	2	27	128288	HiFi-only (pri)	5
533	2	28	143176	HiFi-only (pri)	5
534	2	29	157783	HiFi-only (pri)	5
535	2	30	172411	HiFi-only (pri)	5
536	2	31	187767	HiFi-only (pri)	5
537	2	32	205488	HiFi-only (pri)	5
538	2	33	221783	HiFi-only (pri)	5
539	2	34	241328	HiFi-only (pri)	5
540	2	35	259080	HiFi-only (pri)	5
541	2	36	276200	HiFi-only (pri)	5
542	2	37	294260	HiFi-only (pri)	5
543	2	38	312527	HiFi-only (pri)	5
544	2	39	332886	HiFi-only (pri)	5
545	2	40	350796	HiFi-only (pri)	5
546	2	41	368896	HiFi-only (pri)	5
547	2	42	386894	HiFi-only (pri)	5
548	2	43	405717	HiFi-only (pri)	5
549	2	44	424665	HiFi-only (pri)	5
550	2	45	440797	HiFi-only (pri)	5
551	2	46	458171	HiFi-only (pri)	5
552	2	47	477576	HiFi-only (pri)	5
553	2	48	494628	HiFi-only (pri)	5
554	2	49	511729	HiFi-only (pri)	5
555	2	50	524748	HiFi-only (pri)	5
556	2	51	541202	HiFi-only (pri)	5
557	2	52	555360	HiFi-only (pri)	5
558	2	53	569633	HiFi-only (pri)	5
559	2	54	585044	HiFi-only (pri)	5
560	2	55	595510	HiFi-only (pri)	5
561	2	56	605096	HiFi-only (pri)	5
562	2	57	613606	HiFi-only (pri)	5
563	2	58	622007	HiFi-only (pri)	5
564	2	59	628691	HiFi-only (pri)	5
565	2	60	634310	HiFi-only (pri)	5
566	2	61	635940	HiFi-only (pri)	5
567	2	62	638006	HiFi-only (pri)	5
568	2	63	635210	HiFi-only (pri)	5
569	2	64	629924	HiFi-only (pri)	5
570	2	65	626336	HiFi-only (pri)	5
571	2	66	618507	HiFi-only (pri)	5
572	2	67	611284	HiFi-only (pri)	5
573	2	68	599074	HiFi-only (pri)	5
574	2	69	586464	HiFi-only (pri)	5
575	2	70	574984	HiFi-only (pri)	5
576	2	71	560999	HiFi-only (pri)	5
577	2	72	542149	HiFi-only (pri)	5
578	2	73	527492	HiFi-only (pri)	5
579	2	74	509727	HiFi-only (pri)	5
580	2	75	491919	HiFi-only (pri)	5
581	2	76	474764	HiFi-only (pri)	5
582	2	77	455230	HiFi-only (pri)	5
583	2	78	436040	HiFi-only (pri)	5
584	2	79	417691	HiFi-only (pri)	5
585	2	80	397022	HiFi-only (pri)	5
586	2	81	377182	HiFi-only (pri)	5
587	2	82	358425	HiFi-only (pri)	5
588	2	83	340141	HiFi-only (pri)	5
589	2	84	322581	HiFi-only (pri)	5
590	2	85	306489	HiFi-only (pri)	5
591	2	86	291323	HiFi-only (pri)	5
