CLR	CLR	 - 	1066324963	0	0	0
HiFi-only	CLR	79918997	1066324963	0.074948069	7.494806909	79.918997
HiFi-Hic	CLR	64741129	1066324963	0.060714258	6.071425808	64.741129
HiFi-trio	CLR	63671383	1066324963	0.05971105	5.971104983	63.671383
CLR	HiFi-only	21488518	1127794106	0.019053582	1.905358246	21.488518
HiFi-only	HiFi-only	 - 	1127794106	0	0	0
HiFi-Hic	HiFi-only	24607865	1127794106	0.021819466	2.181946587	24.607865
HiFi-trio	HiFi-only	26150838	1127794106	0.023187599	2.318759946	26.150838
CLR	HiFi-Hic	15562897	1118801853	0.013910325	1.391032466	15.562897
HiFi-only	HiFi-Hic	35680313	1118801853	0.031891539	3.189153906	35.680313
HiFi-Hic	HiFi-Hic	 - 	1118801853	0	0	0
HiFi-trio	HiFi-Hic	37951627	1118801853	0.03392167	3.392166977	37.951627
CLR	HiFi-trio	44567824	1075764136	0.041428992	4.14289922	44.567824
HiFi-only	HiFi-trio	62823830	1075764136	0.05839926	5.839926049	62.82383
HiFi-Hic	HiFi-trio	63142689	1075764136	0.058695663	5.869566282	63.142689
HiFi-trio	HiFi-trio	 - 	1075764136	0	0	0
