CLR	CLR	-	1066324963	0	0	0
CLR	HiFi-only	50649162	1066324963	0.047498805	4.749880548	50.649162
CLR	HiFi-Hic	40859963	1066324963	0.038318491	3.831849053	40.859963
CLR	HiFi-trio	35437422	1066324963	0.033233229	3.32332293	35.437422
HiFi-only	CLR	197148	1127794106	0.000174809	0.01748085	0.197148
HiFi-only	HiFi-only	-	1127794106	0	0	0
HiFi-only	HiFi-Hic	695666	1127794106	0.000616838	0.061683777	0.695666
HiFi-only	HiFi-trio	1068537	1127794106	0.000947458	0.094745751	1.068537
HiFi-Hic	CLR	35094	1118801853	3.13675E-05	0.003136748	0.035094
HiFi-Hic	HiFi-only	125022	1118801853	0.000111746	0.011174633	0.125022
HiFi-Hic	HiFi-Hic	-	1118801853	0	0	0
HiFi-Hic	HiFi-trio	337505	1118801853	0.000301666	0.030166646	0.337505
HiFi-trio	CLR	5604588	1075764136	0.005209867	0.520986693	5.604588
HiFi-trio	HiFi-only	3810046	1075764136	0.003541711	0.35417113	3.810046
HiFi-trio	HiFi-Hic	3470048	1075764136	0.003225659	0.322565875	3.470048
HiFi-trio	HiFi-trio	-	1075764136	0	0	0
