Copies	kmer_multiplicity	Count	Assembly	ordering
1	2	20	19707	Trio hap1 (pat)	1
2	2	21	20797	Trio hap1 (pat)	1
3	2	22	21937	Trio hap1 (pat)	1
4	2	23	22992	Trio hap1 (pat)	1
5	2	24	24552	Trio hap1 (pat)	1
6	2	25	25297	Trio hap1 (pat)	1
7	2	26	26826	Trio hap1 (pat)	1
8	2	27	28066	Trio hap1 (pat)	1
9	2	28	29049	Trio hap1 (pat)	1
10	2	29	30376	Trio hap1 (pat)	1
11	2	30	32037	Trio hap1 (pat)	1
12	2	31	33373	Trio hap1 (pat)	1
13	2	32	35196	Trio hap1 (pat)	1
14	2	33	36318	Trio hap1 (pat)	1
15	2	34	38665	Trio hap1 (pat)	1
16	2	35	39816	Trio hap1 (pat)	1
17	2	36	40801	Trio hap1 (pat)	1
18	2	37	42303	Trio hap1 (pat)	1
19	2	38	44136	Trio hap1 (pat)	1
20	2	39	45653	Trio hap1 (pat)	1
21	2	40	46634	Trio hap1 (pat)	1
22	2	41	48197	Trio hap1 (pat)	1
23	2	42	49361	Trio hap1 (pat)	1
24	2	43	51371	Trio hap1 (pat)	1
25	2	44	52961	Trio hap1 (pat)	1
26	2	45	54158	Trio hap1 (pat)	1
27	2	46	55449	Trio hap1 (pat)	1
28	2	47	57254	Trio hap1 (pat)	1
29	2	48	58966	Trio hap1 (pat)	1
30	2	49	60812	Trio hap1 (pat)	1
31	2	50	61865	Trio hap1 (pat)	1
32	2	51	63460	Trio hap1 (pat)	1
33	2	52	65290	Trio hap1 (pat)	1
34	2	53	66978	Trio hap1 (pat)	1
35	2	54	68629	Trio hap1 (pat)	1
36	2	55	70195	Trio hap1 (pat)	1
37	2	56	71683	Trio hap1 (pat)	1
38	2	57	72700	Trio hap1 (pat)	1
39	2	58	74543	Trio hap1 (pat)	1
40	2	59	76256	Trio hap1 (pat)	1
41	2	60	78156	Trio hap1 (pat)	1
42	2	61	79596	Trio hap1 (pat)	1
43	2	62	81001	Trio hap1 (pat)	1
44	2	63	82724	Trio hap1 (pat)	1
45	2	64	83646	Trio hap1 (pat)	1
46	2	65	85558	Trio hap1 (pat)	1
47	2	66	86707	Trio hap1 (pat)	1
48	2	67	87741	Trio hap1 (pat)	1
49	2	68	88924	Trio hap1 (pat)	1
50	2	69	89647	Trio hap1 (pat)	1
51	2	70	90720	Trio hap1 (pat)	1
